Classifier,Fold,Accuracy,Precision (B),Precision (M),Recall (B),Recall (M),F-score (B),F-score (M),Cross-validation score,Average cross-validation score
Random Forest Classifier,9,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9570512820512821,0.9570135746606334
Random Forest Classifier,10,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9570512820512821,0.9570512820512821
ADABoost Classifier,1,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9415158371040725,0.9414404223227752
ADABoost Classifier,2,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9415158371040725,0.9473227752639517
ADABoost Classifier,3,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9415158371040725,0.9315987933634993
ADABoost Classifier,4,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9415158371040725,0.9453242835595776
ADABoost Classifier,5,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9415158371040725,0.953129713423831
ADABoost Classifier,6,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9415158371040725,0.9355580693815988
ADABoost Classifier,7,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9415158371040725,0.9414404223227752
ADABoost Classifier,8,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9415158371040725,0.9491704374057315
ADABoost Classifier,9,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9415158371040725,0.9433257918552036
ADABoost Classifier,10,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9415158371040725,0.9415158371040725
Gaussian Naïve-Bayes,1,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9040723981900453,0.8983031674208146
Gaussian Naïve-Bayes,2,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9040723981900453,0.9023378582202112
Gaussian Naïve-Bayes,3,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9040723981900453,0.9003770739064857
Gaussian Naïve-Bayes,4,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9040723981900453,0.8965686274509805
Gaussian Naïve-Bayes,5,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9040723981900453,0.9003393665158372
